brand_id,brand_name,TimeOfYear,total_sales,BrandKey
1,Electra,1,247,00,1
1,Electra,10,212,00,2
1,Electra,11,152,00,3
1,Electra,12,166,00,4
1,Electra,2,254,00,5
1,Electra,3,311,00,6
1,Electra,4,370,00,7
1,Electra,5,160,00,8
1,Electra,6,170,00,9
1,Electra,7,183,00,10
1,Electra,8,215,00,11
1,Electra,9,172,00,12
2,Haro,1,18,00,13
2,Haro,10,32,00,14
2,Haro,11,27,00,15
2,Haro,12,19,00,16
2,Haro,2,31,00,17
2,Haro,3,27,00,18
2,Haro,4,71,00,19
2,Haro,5,21,00,20
2,Haro,6,18,00,21
2,Haro,7,19,00,22
2,Haro,8,21,00,23
2,Haro,9,27,00,24
3,Heller,1,12,00,25
3,Heller,10,8,00,26
3,Heller,11,4,00,27
3,Heller,12,15,00,28
3,Heller,2,20,00,29
3,Heller,3,12,00,30
3,Heller,4,13,00,31
3,Heller,5,14,00,32
3,Heller,6,9,00,33
3,Heller,7,9,00,34
3,Heller,8,11,00,35
3,Heller,9,11,00,36
4,Pure Cycles,1,30,00,37
4,Pure Cycles,10,33,00,38
4,Pure Cycles,11,31,00,39
4,Pure Cycles,12,38,00,40
4,Pure Cycles,2,31,00,41
4,Pure Cycles,3,36,00,42
4,Pure Cycles,4,29,00,43
4,Pure Cycles,5,32,00,44
4,Pure Cycles,6,21,00,45
4,Pure Cycles,7,26,00,46
4,Pure Cycles,8,34,00,47
4,Pure Cycles,9,35,00,48
5,Ritchey,1,11,00,49
5,Ritchey,10,9,00,50
5,Ritchey,11,4,00,51
5,Ritchey,12,6,00,52
5,Ritchey,2,7,00,53
5,Ritchey,3,11,00,54
5,Ritchey,4,10,00,55
5,Ritchey,5,16,00,56
5,Ritchey,6,13,00,57
5,Ritchey,7,10,00,58
5,Ritchey,8,11,00,59
5,Ritchey,9,10,00,60
6,Strider,1,2,00,61
6,Strider,2,3,00,62
6,Strider,3,8,00,63
6,Strider,4,12,00,64
7,Sun Bicycles,1,60,00,65
7,Sun Bicycles,10,79,00,66
7,Sun Bicycles,11,34,00,67
7,Sun Bicycles,12,41,00,68
7,Sun Bicycles,2,57,00,69
7,Sun Bicycles,3,68,00,70
7,Sun Bicycles,4,94,00,71
7,Sun Bicycles,5,54,00,72
7,Sun Bicycles,6,68,00,73
7,Sun Bicycles,7,62,00,74
7,Sun Bicycles,8,55,00,75
7,Sun Bicycles,9,59,00,76
8,Surly,1,75,00,77
8,Surly,10,61,00,78
8,Surly,11,54,00,79
8,Surly,12,65,00,80
8,Surly,2,71,00,81
8,Surly,3,109,00,82
8,Surly,4,97,00,83
8,Surly,5,71,00,84
8,Surly,6,70,00,85
8,Surly,7,69,00,86
8,Surly,8,90,00,87
8,Surly,9,76,00,88
9,Trek,1,236,00,89
9,Trek,10,124,00,90
9,Trek,11,124,00,91
9,Trek,12,99,00,92
9,Trek,2,172,00,93
9,Trek,3,217,00,94
9,Trek,4,308,00,95
9,Trek,5,97,00,96
9,Trek,6,127,00,97
9,Trek,7,93,00,98
9,Trek,8,110,00,99
9,Trek,9,132,00,100
